UPM;NVIVI;NHOGA;TRIMESTRE;RONDA;ANIO;AREA;ESTGEO;L02;P02;P03;P06;P09;A01;A01A;A02;A03;A04;A04B;A04A;A05;A06;A06E;A07;A08;A09;A09E;A10;A11A;A11M;A11S;A12;A13REC;A14REC;A15;A16;A17A;A17M;A17S;A18;B01REC;B02REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B04;B05;B06;B07A;B07M;B07S;B08;B09A;B09M;B09S;B10;B11;B12;B13;B14;B15;B16G;B16U;B16D;B16T;B17;B18AG;B18AU;B18BG;B18BU;B19;B20G;B20U;B20D;B20T;B21;B22;B23;B24;B25;B26;B271;B272;B28;B29;B30;B31;C01REC;C02REC;C03;C04;C05;C06;C07;C08;C09;C101;C102;C11G;C11U;C11D;C11T;C12;C13AG;C13AU;C13BG;C13BU;C14;C14A;C14B;C14C;C15;C16REC;C17REC;C18;C18A;C18B;C19;D01;D02;D03;D04;D05;CATE_PEA;TAMA_PEA;OCUP_PEA;RAMA_PEA;HORAB;HORABC;HORABCO;PEAD;PEAD_1;PEAA;FEX;añoest;Informalidad
14;31;1;5;2;2023;1;1;1;47;1;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;12;12;12;12;12;12;0;1; ; ;20;0;0;11;9;0;0;1;1;2;88;1;4;2300000;5; ;2300000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;36;2;6;11;2;11;5;4;72;72;72;1;1;1;384;4;2
14;31;1;5;2;2023;1;1;2;40;2;6;2;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;7;8;8;8;8;8;8;0;1; ; ;3;0;0;11;3;0;0;6; ;2;88;1;4;2500000;5; ;2500000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;4; ; ;2;5;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;36;6; ; ;2;11;9;7;48;48;48;1;1;1;384;5;1
14;31;1;5;2;2023;1;1;3;85;7;6;5;6;1;6;6;6; ; ;6;6; ; ; ; ; ; ; ; ; ;1;9;8;4;1;37;0;0;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;384;0; 
14;37;1;5;1;2023;1;1;1;77;1;1;4;1; ;6;6;6; ; ;6;5; ; ; ; ; ; ; ; ; ;1;3;8;4;1;8;0;0;17; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;246;9; 
14;37;1;5;1;2023;1;1;2;23;3;6;5;6;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;7;8;8;8;8;8;8;0;1; ; ;1;0;0;8;1;0;0;1;1;2;12;1;4;3000000;5; ;3000000;1;1000000;5;0; ;6; ; ; ; ;6; ; ;1;100000;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;1; ;11;2;8;1;7;48;48;48;1;1;1;246;14;2
14;39;1;5;2;2023;1;1;5;28;1;1;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;5;9;0;9;9;9;9;9;1; ; ;4;0;0;7;0;1;0;1;1;2;88;1;4;2272000;5; ;2272000;6; ; ; ; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;7;9;5;54;54;54;1;1;1;667;12;2
14;39;1;5;2;2023;1;1;6;28;2;6;2;1; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;5;8;8;0;8;8;8;8;1; ; ;7;0;0;7;7;0;0;1;1;2;18;1;4;2272000;5; ;2272000;1;560000;5;0; ;6; ; ; ; ;6; ; ;6; ;3; ; ;1;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;6; ; ;2;7;9;5;48;48;48;1;1;1;667;9;2
14;39;1;5;2;2023;1;1;7;1;3;6;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;667; ; 
14;39;1;5;2;2023;1;1;8;12;4;6;5;6;6;6;6;6; ; ;6;4; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;3;667;5; 
14;39;1;5;2;2023;1;1;9;8;4;6;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;667;1; 
